date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,profile_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,n_freq,data_spectrum,theory_spectrum_raw,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,11,13.176732440960746,114,5.582276600044786,4.485609008777093,8.796300963595192,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,12,14.322535261913854,130,5.417491814005392,4.484832372249924,8.794777975608737,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,13,15.468338082866964,142,4.45884834672625,4.484241339488934,8.793618957505544,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,14,16.614140903820072,158,4.310258845160707,4.483795974757664,8.792745595113246,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,15,17.75994372477318,166,5.534092633004481,4.4834552479620084,8.792077428218834,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,16,18.905746545726288,170,4.112203520302278,4.483200718638032,8.791578294983328,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,17,20.051549366679396,184,4.909696520438352,4.483003300576624,8.791191157209974,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,18,21.197352187632504,198,5.6285532154896245,4.482841629094491,8.79087411865149,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,19,22.34315500858561,202,5.13433263046591,4.482712809145717,8.790621502108827,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,20,23.48895782953872,214,5.385054086883847,4.482608806924637,8.79041755325022,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,21,24.63476065049183,218,6.748607206673128,4.482524149138555,8.790251538922213,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,22,25.78056347144494,238,5.044682924485271,4.48245284226765,8.790111705803449,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,23,26.926366292398047,242,6.997025164303459,4.482392709443652,8.78999378504472,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,24,28.072169113351155,266,11.351155444898598,4.482341134669337,8.789892646662816,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,25,29.217971934304263,274,20.896397208420943,4.482296400762808,8.789804923255728,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,26,30.36377475525737,266,39.684452705784956,4.482259782644715,8.789733114949025,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,27,31.509577576210482,302,36.057731031909846,4.482227855918599,8.789670506484677,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,28,32.65538039716359,292,20.854684428730618,4.482200028459942,8.789615936703646,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,29,33.8011832181167,314,8.20661042908173,4.482176266789303,8.789569339952584,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,30,34.946986039069806,330,6.438961068743506,4.4821549123841065,8.7895274638607,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,31,36.092788860022914,326,4.70956692126711,4.482136510268452,8.78949137722289,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,32,37.23859168097602,342,5.465136376105295,4.482120500472009,8.789459981934623,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,33,38.38439450192913,346,4.759575270235912,4.4821063581899585,8.789432248851115,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,34,39.53019732288224,348,4.806353302674691,4.482094085759062,8.789408182554764,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,35,40.676000143835346,376,4.936328501619775,4.4820829300611695,8.789386306177235,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,36,41.82180296478845,390,3.981881849850885,4.48207266094246,8.789366168385774,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,37,42.96760578574156,402,3.9111514687360796,4.482063412237166,8.789348031629956,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,38,44.11340860669467,394,4.331306712391166,4.482055298610302,8.789332120768426,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,39,45.25921142764778,422,4.361613339841323,4.4820479862168146,8.789317781129428,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,40,46.40501424860089,412,4.908891487802571,4.482041396649518,8.789304858956086,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,41,47.550817069554,446,4.883959188357219,4.4820354164306515,8.789293131717962,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,42,48.69661989050711,446,5.39380052518261,4.482029881977757,8.789282278629065,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,43,49.842422711460216,436,4.944254872393337,4.48202500834163,8.789272721405045,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,44,50.988225532413324,418,5.444852267624414,4.482020432166611,8.789263747503698,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,45,52.13402835336643,378,6.530708536147288,4.482016266688025,8.789255578980042,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,46,53.27983117431954,360,7.743302841941752,4.482012611970183,8.789248412060674,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,47,54.42563399527265,386,9.755666429375019,4.482009108060746,8.789241540877319,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,48,55.571436816225756,358,12.220266855989829,4.482005844842129,8.789235141689826,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,49,56.717239637178864,358,17.33162269265602,4.482002884956954,8.789229337340682,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,50,57.86304245813197,346,26.82041942759004,4.482000170412021,8.789224014104937,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,51,59.00884527908508,366,38.29084340931562,4.481997604920668,8.789218983163984,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,52,60.15464810003819,334,63.76182192491474,4.481995237512372,8.789214340664865,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,53,61.300450920991295,342,36.47199960682097,4.481993114161557,8.789210176763646,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,54,62.4462537419444,342,17.68282429713767,4.481991091140951,8.789206209610452,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,55,63.59205656289751,326,11.371750598738823,4.4819892498533775,8.789202598836614,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,56,64.73785938385063,334,7.696067492010238,4.481987536407555,8.789199238761068,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,57,65.88366220480373,326,7.155656738896155,4.48198593477468,8.789196097951253,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,58,67.02946502575685,316,6.933035134338545,4.481984477253951,8.789193239746051,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,59,68.17526784670994,334,9.199064454244208,4.481983076856305,8.789190493559495,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,60,69.32107066766307,326,15.227397579985537,4.481981746308963,8.789187884349722,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,61,70.46687348861616,326,27.888563760241908,4.481980507797494,8.78918545562274,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,62,71.61267630956928,289,16.735306647843252,4.481979354319228,8.78918319364628,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,63,72.75847913052237,240,5.692765579027671,4.481978284032075,8.789181094807997,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,64,73.9042819514755,210,4.146961637249883,4.4819772652206105,8.789179096913786,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,65,75.05008477242859,180,3.5045231599166238,4.481976307952098,8.789177219705604,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,66,76.19588759338171,150,3.7507072047233896,4.481975439475177,8.789175516618162,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,67,77.3416904143348,154,3.589671347262794,4.481974574086233,8.789173819586255,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,68,78.48749323528793,114,4.183119449123925,4.4819737495749035,8.78917220271555,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,69,79.63329605624102,96,3.613939847009693,4.481973034054,8.789170799575595,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,0,0.5729014104765542,2,0.568660474720096,5.743084961661302,11.262217389750385,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,1,1.7187042314296626,18,525.2060778645559,5.080203331671787,9.962303306909714,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,2,2.8645070523827707,26,122.26964478604357,4.706589590139192,9.229644952553604,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,3,4.0103098733358795,42,48.230148456902945,4.5799454451348875,8.981295171608528,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,4,5.156112694288987,42,19.259577668469777,4.532682077276974,8.888611478621058,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,5,6.301915515242095,60,14.927089910023746,4.512301399535328,8.848644870986115,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,6,7.447718336195205,66,12.083945095259983,4.500865312607059,8.82621864920217,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,7,8.593521157148313,86,10.730539421655509,4.494460215468798,8.813658222731883,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,8,9.739323978101421,86,10.037780650834897,4.490567509585923,8.80602460766612,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,9,10.885126799054529,98,7.521959416462119,4.4882719697445115,8.801523042933333,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,10,12.030929620007637,110,6.859902678003106,4.486685961787906,8.798412873658735,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,11,13.176732440960746,114,5.582276600044786,4.485609008777093,8.796300963595192,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,12,14.322535261913854,130,5.417491814005392,4.484832372249924,8.794777975608737,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,13,15.468338082866964,142,4.45884834672625,4.484241339488934,8.793618957505544,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,14,16.614140903820072,158,4.310258845160707,4.483795974757664,8.792745595113246,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,15,17.75994372477318,166,5.534092633004481,4.4834552479620084,8.792077428218834,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,16,18.905746545726288,170,4.112203520302278,4.483200718638032,8.791578294983328,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,17,20.051549366679396,184,4.909696520438352,4.483003300576624,8.791191157209974,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,18,21.197352187632504,198,5.6285532154896245,4.482841629094491,8.79087411865149,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,19,22.34315500858561,202,5.13433263046591,4.482712809145717,8.790621502108827,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,20,23.48895782953872,214,5.385054086883847,4.482608806924637,8.79041755325022,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,21,24.63476065049183,218,6.748607206673128,4.482524149138555,8.790251538922213,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,22,25.78056347144494,238,5.044682924485271,4.48245284226765,8.790111705803449,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,23,26.926366292398047,242,6.997025164303459,4.482392709443652,8.78999378504472,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,24,28.072169113351155,266,11.351155444898598,4.482341134669337,8.789892646662816,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,25,29.217971934304263,274,20.896397208420943,4.482296400762808,8.789804923255728,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,26,30.36377475525737,266,39.684452705784956,4.482259782644715,8.789733114949025,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,27,31.509577576210482,302,36.057731031909846,4.482227855918599,8.789670506484677,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,28,32.65538039716359,292,20.854684428730618,4.482200028459942,8.789615936703646,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,29,33.8011832181167,314,8.20661042908173,4.482176266789303,8.789569339952584,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,30,34.946986039069806,330,6.438961068743506,4.4821549123841065,8.7895274638607,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,31,36.092788860022914,326,4.70956692126711,4.482136510268452,8.78949137722289,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,32,37.23859168097602,342,5.465136376105295,4.482120500472009,8.789459981934623,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,33,38.38439450192913,346,4.759575270235912,4.4821063581899585,8.789432248851115,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,34,39.53019732288224,348,4.806353302674691,4.482094085759062,8.789408182554764,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,35,40.676000143835346,376,4.936328501619775,4.4820829300611695,8.789386306177235,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,36,41.82180296478845,390,3.981881849850885,4.48207266094246,8.789366168385774,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,37,42.96760578574156,402,3.9111514687360796,4.482063412237166,8.789348031629956,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,38,44.11340860669467,394,4.331306712391166,4.482055298610302,8.789332120768426,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,39,45.25921142764778,422,4.361613339841323,4.4820479862168146,8.789317781129428,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,40,46.40501424860089,412,4.908891487802571,4.482041396649518,8.789304858956086,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,41,47.550817069554,446,4.883959188357219,4.4820354164306515,8.789293131717962,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,42,48.69661989050711,446,5.39380052518261,4.482029881977757,8.789282278629065,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,43,49.842422711460216,436,4.944254872393337,4.48202500834163,8.789272721405045,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,44,50.988225532413324,418,5.444852267624414,4.482020432166611,8.789263747503698,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,45,52.13402835336643,378,6.530708536147288,4.482016266688025,8.789255578980042,1.9610048371098037
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,range_only,0.5,2259,8.53546347597883,0.5603675365911069,4.481956129892668,46,53.27983117431954,360,7.743302841941752,4.482012611970183,8.789248412060674,1.9610048371098037
